CLV,Nombre,Dirección,Capacidad de personas,Capacidad de familias,Municipio,Ubicación
REF-COY-05,Esc. Prim. Juan N. Álvarez,Av. Libramiento S/N,800,200,Coyuca de Bénitez,https://maps.app.goo.gl/jpsR4VL8HvAqgDgx6
REF-COY-06,Esc. Prim. Vicente Guerrero,Loc. Las Compuertas,500,125,Coyuca de Bénitez,https://maps.app.goo.gl/ALi7gtkTrm1S9bp18
REF-COY-07,Esc. Prim. Benito Juárez,Col. Venustiano Carranza,150,37,Coyuca de Bénitez,https://maps.app.goo.gl/TprDSZJFmgNhd2Dr9
REF-COY-08,Iglesia Carrera Larga / Virgen del Rosario,"Col. Centro, Loc. Carrera Larga",400,100,Coyuca de Bénitez,https://maps.app.goo.gl/etpt7uH7r3PJzD5y9
REF-COY-09,Iglesia San Isidro Labrador,"Calle Principal, Yetla",100,25,Coyuca de Bénitez,https://maps.app.goo.gl/w21XvrCRdf6Nanch6
REF-COY-10,Iglesia Virgen de Guadalupe / Cancha de la localidad,"Calle Principal, Embarcadero",100,25,Coyuca de Bénitez,https://maps.app.goo.gl/9LU6R2ZNdi8GpZmLA
REF-COY-11,Jardín de Niños Luz María Serradel,"Av. Fuerza Aérea, Luces Del Mar",100,25,Coyuca de Bénitez,https://maps.app.goo.gl/J5Mn7chsmKmC36gM9
REF-COY-12,Parroquia de Nuestra Señora de la Candelaria,Loc. Espinalillo,100,25,Coyuca de Bénitez,https://maps.app.goo.gl/KLV2TmwZhN6rrxVm9
REF-COY-13,Telesecundaria Tenochtitlán,Loc. Playa Del Carrizal,100,25,Coyuca de Bénitez,https://maps.app.goo.gl/Kgh2m56phgV69gdT7
REF-COY-14,Telesecundaria Ricardo Flores Magón,Loc. Ejido Viejo,150,37,Coyuca de Bénitez,https://maps.app.goo.gl/gDHVr3JRPRLaAiB98
